Date,Close,High,Low,Open,Volume
,QQQ,QQQ,QQQ,QQQ,QQQ
2021-06-21,334.56494140625,334.8855714243223,330.47469978583916,332.68984582617543,32992600
2021-06-22,337.6837158203125,338.1306232649226,334.0598013761098,334.3609813550357,28941600
2021-06-23,337.848876953125,338.995335576956,337.0133530174807,337.6254380468434,27188500
2021-06-24,339.937744140625,341.4630645317735,339.2382226324441,339.78229162219185,32581600
2021-06-25,339.5198669433594,340.74403668648523,338.9175071172272,340.50114774694623,28682800
2021-06-28,343.6490478515625,343.78507991676616,340.7441050397931,340.80239602501337,39130300
2021-06-29,344.8926086425781,344.92175413268325,342.6386215588739,343.47414537490874,29426000
2021-06-30,344.3484802246094,345.12574257565615,343.765540873706,344.73709657536926,32724000
2021-07-01,344.4845275878906,344.98972590141256,342.64827299824105,343.99874971543665,29290000
2021-07-02,348.43878173828125,348.7593821022505,346.1458946628319,346.37905856390046,32727200
2021-07-06,349.9446716308594,350.2264311031794,346.3499034583853,349.04113188977976,38842400
2021-07-07,350.6831359863281,352.44164990379323,348.73029901684714,352.14046992784296,35265200
2021-07-08,348.5650939941406,349.4200679163913,344.3388496163626,345.62128085020595,50890000
2021-07-09,350.7413024902344,351.2173552543219,347.39914879856326,347.9820880981848,35184500
2021-07-12,352.1112365722656,352.56786894597764,350.56643688814484,352.1403820578418,25717700
2021-07-13,352.1112365722656,355.07446965411276,351.25626279599396,351.73231561024755,39723000
2021-07-14,352.7427978515625,355.09394645998833,351.9169694297803,354.45271602599973,35336400
2021-07-15,350.26531982421875,352.8593871039803,348.263917056866,352.65536866834645,53391600
2021-07-16,347.4283447265625,352.1015255470273,347.07856923619346,351.1202447443441,47262000
2021-07-19,344.5816955566406,345.07716883415947,342.02649915567275,343.97930607789306,64404600
2021-07-20,348.58447265625,350.0320811396048,343.736389624569,345.5143531325334,42183700
2021-07-21,351.2756652832031,351.2756652832031,347.933511410152,348.15697988783324,30259900
2021-07-22,353.5977478027344,353.6074431991234,351.4797336099196,351.4797336099196,30252200
2021-07-23,357.7268981933594,358.00862805980915,353.5686400813842,354.91908737955197,31960800
2021-07-26,358.00860595703125,358.3972520169587,356.17238081685986,357.0370501062758,28438100
2021-07-27,354.0640869140625,357.74629184182237,349.9155541597789,357.74629184182237,57933100
2021-07-28,355.4242858886719,356.998231370159,352.90795963703147,355.2008470048349,42066200
2021-07-29,356.0557861328125,357.22163532233117,354.86076180526356,354.86076180526356,25672500
2021-07-30,354.20013427734375,354.78307373523353,352.10157001865997,352.1307155090778,36484600
2021-08-02,354.2292785644531,356.4444247772836,353.52003210065106,355.861485321374,27334100
2021-08-03,356.3764343261719,356.4930162958141,351.70325259596177,354.88995491416483,35558500
2021-08-04,356.8913879394531,357.843523521185,355.2300354326434,356.33759388733756,29602200
2021-08-05,359.1551208496094,359.3882848025913,356.9982653359182,357.70748224275013,21443900
2021-08-06,357.5811462402344,358.86360717677746,356.4735879037899,357.8920512520388,33332100
2021-08-09,358.2417907714844,358.76640957041377,356.9399095212192,358.03774270014765,25960200
2021-08-10,356.40557861328125,359.0482119645274,355.2202791767032,358.7567570414076,35130800
2021-08-11,355.79345703125,358.1640556605862,354.4624302700103,357.66858234224264,34249800
2021-08-12,357.075927734375,357.4353986623692,353.9377916002742,355.28826849142246,25969200
2021-08-13,358.3292236328125,358.6595490527327,356.9301808840148,357.4256838386604,19336200
2021-08-16,358.4846496582031,358.52349054036375,353.35483650780424,357.21191400352564,34856900
2021-08-17,355.3271484375,356.70674120576933,352.89825869804963,355.7351853099892,44793900
2021-08-18,351.9072265625,356.1917913024979,351.57690114042134,354.79274854455855,38541900
2021-08-19,353.6074523925781,355.27852960997615,349.7212290637019,349.9738430679288,48499400
2021-08-20,357.27020263671875,357.66854404771954,354.36523081493834,354.67613576735766,39486000
2021-08-23,362.61383056640625,363.30362697510054,358.30011986359386,358.30981526121445,34034700
2021-08-24,363.7213439941406,364.3237038526615,362.7400631377907,363.2064206006118,21732900
2021-08-25,364.1391296386719,364.7123736957995,363.2258647453417,363.9739817438647,20441900
2021-08-26,361.8268127441406,363.96421764744815,361.3896007880284,363.2841463984758,29133300
2021-08-27,365.3438415527344,365.8490398813782,361.97254183101103,362.45831971800555,27104700
2021-08-30,369.4438781738281,369.92965615295554,366.1114187033676,366.130868798235,27295700
2021-08-31,369.142578125,369.7546332740036,367.59777856227254,369.6866469126866,29628200
2021-09-01,369.7547302246094,371.8241490290895,369.55071178811403,370.2016672848812,28138300
2021-09-02,369.5798645019531,371.43553985938416,368.36541960700094,371.10521440590117,25453400
2021-09-03,370.7165222167969,371.1148636188877,368.4139399104051,368.4333603509238,24605400
2021-09-07,371.2411193847656,371.89207472341263,369.6672039579044,370.823357566431,23970200
2021-09-08,369.9490966796875,371.0663801624214,367.68538421987137,371.0663801624214,32949200
2021-09-09,368.6763000488281,371.2800626142129,368.43341108602283,370.17250436157735,29399000
2021-09-10,365.8782043457031,371.1051794247979,365.54787892335725,370.3862376026058,40249400
2021-09-13,365.6256408691406,368.63747027083116,363.5756720281873,368.20998327706684,48741800
2021-09-14,364.5860290527344,367.8407171743474,363.6338937208705,367.1120503442198,41826600
2021-09-15,367.296630859375,367.6464063389702,362.7497571713315,365.0426441055978,34097900
2021-09-16,367.54925537109375,368.12246970870797,364.04195332665904,365.96561474622183,35193100
2021-09-17,363.19677734375,367.1218720035204,362.1572349261721,367.07330606187605,60912300
2021-09-20,355.6919250488281,359.14476056928754,351.052446315012,357.40373906547455,76203200
2021-09-21,356.1295166015625,358.71672357721854,355.0012589193847,357.5203744709026,41927500
2021-09-22,359.4560546875,360.9150044706144,355.9448334412852,357.0439136937502,46972900
2021-09-23,362.7726745605469,363.8036631873685,359.9714867131809,360.6134280684026,44652000
2021-09-24,363.1130676269531,363.53132237880186,360.1368129986181,360.5064182906499,36056800
2021-09-27,360.2146911621094,361.0900550560667,357.66639707157236,360.06880212685115,43338100
2021-09-28,350.0214538574219,360.1660095292844,349.51569535289286,355.66274340365425,97701600
2021-09-29,349.4476013183594,353.4256669344048,348.8251316006727,351.2858920320007,58076600
2021-09-30,348.1637268066406,352.7545561025401,347.3272766106787,351.09136185731893,61384600
2021-10-01,350.32293701171875,351.3636614163688,344.68167764256236,348.78618997498535,56375500
2021-10-04,342.9698791503906,349.03910019916293,340.73283489219506,348.7084085068805,76766000
2021-10-05,347.5995788574219,349.8463586647929,343.8063161750035,344.0300027634827,47232900
2021-10-06,349.8269348144531,350.0992708754434,343.4853484647592,344.3898900585049,56806500
2021-10-07,353.03656005859375,355.6821226976073,352.3362631929019,352.8711994076054,39411200
2021-10-08,351.2760925292969,354.34961597471846,350.7411266388622,354.116163900798,41822300
2021-10-11,348.5820007324219,353.2603637000325,348.4944376304484,349.73940684606686,34847200
2021-10-12,347.36614990234375,350.4688217397953,346.7242085862634,350.03115471683304,43905100
2021-10-13,350.1478271484375,350.8189461917306,347.64815359196314,349.67124654874203,40120800
2021-10-14,356.5964660644531,356.810446526466,353.07553911148256,353.736922473193,43433900
2021-10-15,358.8432312011719,358.95994241517684,356.7812539340061,357.81224256758895,40419900
