Close,High,Low,Open,Volume
ES=F,ES=F,ES=F,ES=F,ES=F
4558.5,4621.5,4520.25,4612.0,2097624
4640.75,4643.0,4565.75,4567.75,1493880
4686.0,4690.5,4622.25,4641.75,1104688
4715.75,4731.25,4684.25,4689.0,978022
4782.25,4784.25,4713.25,4717.0,898698
4778.5,4798.0,4770.5,4780.5,954520
4784.5,4796.0,4770.0,4781.0,876030
4772.25,4799.75,4767.25,4784.75,753935
4758.5,4778.5,4750.5,4773.75,954083
4786.0,4791.25,4747.5,4771.0,1322362
4784.25,4808.25,4764.5,4785.25,1392809
4692.5,4788.25,4689.5,4783.5,1856376
4687.5,4715.75,4662.0,4692.0,1862918
4667.75,4705.75,4653.75,4695.0,1618440
4662.25,4681.75,4572.75,4671.25,2231980
4705.0,4707.5,4627.25,4663.5,1729004
4716.25,4739.5,4695.0,4704.0,1583216
4652.0,4736.25,4642.5,4719.25,1824612
4654.75,4667.0,4606.0,4655.0,2010610
4571.25,4671.75,4560.0,4666.0,2268240
4524.25,4603.0,4517.25,4577.75,2001348
4474.75,4594.25,4437.75,4526.0,2040704
4390.0,4487.0,4381.25,4454.25,3012106
4403.75,4427.5,4212.75,4389.0,3846785
4349.0,4406.75,4276.5,4402.75,2483392
4341.5,4446.25,4294.25,4308.75,2423103
4317.75,4422.0,4263.25,4345.25,2295458
4423.25,4426.0,4266.25,4348.0,2251268
4504.25,4507.75,4395.5,4423.5,1846145
4535.0,4554.75,4474.0,4493.25,1618163
4577.25,4586.0,4535.25,4552.0,1624220
4469.0,4548.25,4462.0,4545.75,1800714
4492.5,4532.5,4438.5,4518.0,1957881
4475.75,4514.5,4462.75,4497.0,1495143
4512.5,4523.75,4456.25,4484.0,1459766
4577.75,4585.0,4517.25,4519.0,1383317
4497.5,4583.75,4476.0,4582.25,2403026
4409.5,4520.5,4393.25,4494.5,2479025
4394.0,4428.0,4354.0,4411.75,2098618
4464.5,4468.0,4381.75,4393.5,1523305
4470.0,4484.5,4422.75,4458.75,1426847
4374.5,4474.75,4367.25,4464.25,1629730
4343.5,4411.5,4321.0,4374.75,1824590
4300.0,4391.25,4250.0,4324.25,2589159
4222.0,4345.5,4212.5,4310.75,1914227
4284.0,4290.0,4101.75,4215.5,2945330
4380.0,4384.25,4227.5,4266.75,1950397
4368.0,4385.5,4251.5,4299.5,2189820
4303.75,4399.0,4275.0,4367.5,1869277
4381.75,4399.25,4278.25,4308.75,1712970
4359.25,4418.75,4341.0,4373.75,1547676
4327.25,4374.5,4281.25,4366.5,1842722
4198.5,4325.25,4185.25,4308.75,1902001
4168.75,4275.0,4138.75,4186.5,2333021
4275.25,4298.25,4152.0,4153.0,1659520
4257.25,4282.25,4207.0,4279.0,1745090
4201.5,4335.5,4198.0,4258.5,1645055
4172.0,4254.5,4160.75,4216.0,1438651
4262.0,4271.5,4138.0,4180.25,1085846
4358.0,4376.0,4246.25,4257.5,722600
4410.25,4415.25,4329.0,4370.5,434642
4409.35009765625,4409.35009765625,4373.75,4393.0,1405299
4452.25,4473.0,4415.0,4460.0,1375090
4505.0,4514.75,4433.0,4456.75,1205860
4447.5,4514.0,4444.75,4504.0,1336967
4512.5,4517.5,4445.75,4449.25,1221569
4536.5,4539.0,4493.25,4516.25,1251078
4568.0,4572.25,4509.75,4535.25,1182527
4625.5,4631.0,4565.25,4570.25,1353683
4596.0,4627.5,4574.75,4621.25,1206203
4530.75,4614.25,4526.25,4599.0,1650667
4539.25,4555.5,4501.25,4541.0,1441126
4577.75,4580.0,4527.75,4538.25,1025558
4520.25,4588.75,4507.75,4576.25,1303877
4475.75,4528.75,4444.5,4526.25,1803684
4496.25,4517.25,4444.5,4471.25,1446250
4483.5,4519.75,4468.75,4494.75,1358450
4409.0,4491.25,4403.5,4488.75,1431371
4393.0,4466.75,4375.5,4411.0,1739771
4442.25,4449.5,4384.0,4396.75,1254348
4387.5,4455.75,4385.0,4438.5,1396074
4386.75,4406.25,4355.5,4390.0,1149765
4459.25,4467.0,4371.75,4399.0,1465764
4455.5,4484.25,4432.75,4441.0,1423396
4390.5,4509.0,4380.0,4468.0,1704137
4267.25,4393.25,4247.5,4385.75,2039961
4292.75,4296.5,4195.25,4259.0,2280374
4170.5,4303.5,4136.75,4294.0,2018166
4180.25,4236.25,4149.0,4149.5,2035627
4283.5,4303.5,4182.5,4213.0,1798644
4127.5,4279.75,4118.75,4244.0,2117160
4151.0,4165.75,4056.0,4144.0,2351404
4169.25,4195.75,4129.0,4145.5,1678497
4295.25,4303.0,4142.75,4171.25,1783477
4143.25,4300.75,4099.25,4289.75,2389422
4119.5,4153.25,4062.0,4146.5,2310919
3987.5,4099.0,3970.0,4087.25,2139992
3996.75,4065.5,3953.0,3993.25,2247750
3930.25,4050.5,3923.75,3990.5,2157244
3927.25,3961.75,3855.0,3939.75,2380563
4019.75,4036.0,3915.5,3916.25,1859074
4004.75,4043.5,3979.5,4025.0,1695198
4084.75,4091.5,4000.5,4002.0,1716498
3922.75,4095.0,3905.5,4091.25,2202394
3897.75,3943.5,3856.0,3916.5,2317604
3899.5,3949.5,3807.5,3900.5,2408399
3971.75,3982.25,3906.5,3910.5,1736162
3940.5,3954.5,3872.0,3951.75,2017453
3976.75,3997.75,3913.5,3950.0,1744116
4055.75,4073.5,3960.5,3972.25,1493132
4155.75,4168.25,4041.25,4047.5,1547507
4131.25,4202.25,4102.75,4164.5,2222573
4099.0,4165.0,4071.5,4138.5,1912031
4175.25,4179.0,4072.25,4097.75,1513748
4107.0,4189.0,4096.75,4177.75,1532766
4120.5,4168.25,4104.5,4110.5,1457918
4158.75,4164.0,4076.0,4122.0,1677883
4114.0,4160.0,4105.25,4150.75,1706628
4016.25,4144.25,4014.75,4116.0,2024783
3899.0,4029.5,3895.25,4025.25,2117225
3750.5,3876.5,3732.5,3870.75,2155159
3736.75,3805.0,3705.25,3758.25,1341257
3789.25,3839.0,3720.25,3740.0,777545
3668.25,3828.75,3639.0,3794.25,544027
3663.760009765625,3710.75,3663.760009765625,3677.5,2207570
3767.75,3783.75,3661.5,3684.0,1566039
3762.75,3805.5,3693.25,3766.25,1660579
3799.75,3805.75,3735.0,3761.25,1607695
3916.25,3919.75,3781.25,3785.25,1563128
3903.75,3948.0,3892.5,3915.0,1497368
3825.5,3950.0,3821.75,3911.25,1791690
3821.25,3840.0,3801.25,3828.25,1717770
3789.5,3825.0,3741.25,3822.75,2394361
3827.25,3833.5,3744.5,3782.0,1752977
3834.0,3857.75,3744.0,3828.5,2031501
3848.25,3875.0,3808.75,3838.0,1684324
3905.0,3914.25,3832.5,3853.75,1314443
3901.25,3922.0,3868.0,3897.0,1485497
3856.75,3900.75,3850.0,3900.0,1486103
3823.75,3876.5,3804.75,3862.0,1640864
3804.5,3873.0,3752.0,3825.0,2157968
3793.25,3806.25,3723.75,3795.75,1916260
3865.0,3868.25,3780.25,3797.75,1523753
3833.75,3909.5,3820.25,3878.5,1439590
3937.5,3948.0,3834.0,3838.5,1611604
3962.5,3977.25,3922.25,3947.0,1734355
4001.25,4004.75,3930.25,3954.0,1821097
3965.0,4016.25,3941.5,3988.0,1736592
3970.0,3988.75,3946.0,3967.75,1493471
