Close,High,Low,Open,Volume
AMZN,AMZN,AMZN,AMZN,AMZN
167.3415069580078,168.32899475097656,166.67250061035156,167.4824981689453,56348000
169.19349670410156,169.25,166.77499389648438,167.3415069580078,51394000
169.156494140625,169.84950256347656,168.15550231933594,169.1999969482422,48524000
170.7624969482422,171.3175048828125,168.02650451660156,169.60000610351562,84056000
174.46200561523438,174.86000061035156,170.0500030517578,170.15899658203125,102730000
174.34500122070312,175.35000610351562,173.6855010986328,173.99949645996094,104954000
172.697998046875,174.10000610351562,171.6999969482422,173.8209991455078,65542000
175.27200317382812,176.18899536132812,172.80450439453125,172.9029998779297,66902000
175.1909942626953,176.0500030517578,174.16000366210938,175.25,56266000
172.45399475097656,176.2429962158203,171.54249572753906,175.3820037841797,76640000
170.072998046875,173.24099731445312,169.70899963378906,173.1999969482422,78820000
172.1945037841797,172.39999389648438,170.67550659179688,170.8000030517578,44856000
172.40699768066406,172.80149841308594,171.15150451660156,171.9409942626953,41968000
172.00799560546875,173.5800018310547,171.75,172.05299377441406,48080000
171.64849853515625,172.85000610351562,170.4709930419922,171.73049926757812,40742000
175.5489959716797,175.58599853515625,171.8459930419922,172.58200073242188,63388000
183.78700256347656,184.2740020751953,176.4499969482422,176.5054931640625,134896000
184.82899475097656,186.7100067138672,183.94549560546875,185.86900329589844,106562000
186.57049560546875,187.99949645996094,181.05599975585938,182.17799377441406,103612000
185.9669952392578,187.39999389648438,184.6699981689453,186.12600708007812,74964000
185.92750549316406,187.864501953125,184.83949279785156,187.1999969482422,51432000
183.8679962158203,188.6540069580078,183.5659942626953,185.10499572753906,76918000
184.08399963378906,185.88299560546875,183.04150390625,185.4425048828125,65932000
181.55999755859375,184.77000427246094,181.04600524902344,184.7100067138672,63706000
178.68150329589844,182.30299377441406,178.5229949951172,181.66549682617188,80874000
177.47950744628906,177.510498046875,174.95799255371094,176.62899780273438,75692000
178.6595001220703,179.60000610351562,175.89999389648438,178.36599731445312,65114000
179.25999450683594,179.32249450683594,177.1820068359375,178.81900024414062,46380000
181.90150451660156,182.00100708007812,179.11349487304688,179.3614959716797,65308000
182.83200073242188,183.3054962158203,181.1020050048828,182.0,48726000
184.99099731445312,185.60400390625,182.3625030517578,183.6584930419922,58002000
181.3195037841797,184.9250030517578,179.3074951171875,184.9250030517578,82638000
181.51600646972656,182.92100524902344,180.0500030517578,181.68899536132812,59988000
179.99600219726562,181.8975067138672,179.00050354003906,181.3874969482422,110400000
166.37950134277344,168.40699768066406,165.3489990234375,167.3975067138672,199312000
166.57400512695312,167.9459991455078,165.85000610351562,167.65499877929688,67078000
168.31199645996094,169.5500030517578,164.98849487304688,167.03599548339844,83146000
